Name	Parent	Desc	ParentDesc
HP:0000040	HP:0000036	Long penis	Abnormality of the penis
HP:0000041	HP:0000036	Chordee	Abnormality of the penis
HP:0000042	HP:0000811	Absent external genitalia	Abnormal external genitalia
HP:0000044	HP:0000135	Hypogonadotropic hypogonadism	Hypogonadism
HP:0000045	HP:0000032	Abnormality of the scrotum	Abnormality of male external genitalia
HP:0000046	HP:0000045	Scrotal hypoplasia	Abnormality of the scrotum
HP:0000046	HP:0000050	Scrotal hypoplasia	Hypoplastic male external genitalia
HP:0000047	HP:0100627	Hypospadias	Displacement of the urethral meatus
HP:0000048	HP:0000045	Bifid scrotum	Abnormality of the scrotum
HP:0000049	HP:0000045	Shawl scrotum	Abnormality of the scrotum
HP:0000050	HP:0000032	Hypoplastic male external genitalia	Abnormality of male external genitalia
HP:0000050	HP:0003241	Hypoplastic male external genitalia	External genital hypoplasia
HP:0000051	HP:0000047	Perineal hypospadias	Hypospadias
HP:0000052	HP:0000068	Urethral atresia, male	Urethral atresia
HP:0000053	HP:0045058	Macroorchidism	Abnormality of the testis size
HP:0000054	HP:0008736	Micropenis	Hypoplasia of penis
HP:0000055	HP:0000811	Abnormality of female external genitalia	Abnormal external genitalia
HP:0000055	HP:0010460	Abnormality of female external genitalia	Abnormality of the female genitalia
HP:0000056	HP:0000055	Abnormality of the clitoris	Abnormality of female external genitalia
HP:0000058	HP:0000055	Abnormality of the labia	Abnormality of female external genitalia
HP:0000059	HP:0000066	Hypoplastic labia majora	Labial hypoplasia
HP:0000059	HP:0012881	Hypoplastic labia majora	Abnormality of the labia majora
HP:0000060	HP:0012815	Clitoral hypoplasia	Hypoplastic female external genitalia
HP:0000060	HP:0040255	Clitoral hypoplasia	Aplasia/Hypoplasia of the clitoris
HP:0000061	HP:0000055	Ambiguous genitalia, female	Abnormality of female external genitalia
HP:0000061	HP:0000062	Ambiguous genitalia, female	Ambiguous genitalia
HP:0000062	HP:0000811	Ambiguous genitalia	Abnormal external genitalia
HP:0000063	HP:0012880	Fused labia minora	Abnormality of the labia minora
HP:0000064	HP:0000066	Hypoplastic labia minora	Labial hypoplasia
HP:0000064	HP:0012880	Hypoplastic labia minora	Abnormality of the labia minora
HP:0000065	HP:0000058	Labial hypertrophy	Abnormality of the labia
HP:0000066	HP:0000058	Labial hypoplasia	Abnormality of the labia
HP:0000066	HP:0012815	Labial hypoplasia	Hypoplastic female external genitalia
HP:0000067	HP:0000055	Urethral atresia, female	Abnormality of female external genitalia
HP:0000067	HP:0000068	Urethral atresia, female	Urethral atresia
HP:0000068	HP:0000795	Urethral atresia	Abnormality of the urethra
HP:0000069	HP:0010935	Abnormality of the ureter	Abnormality of the upper urinary tract
HP:0000070	HP:0025633	Ureterocele	Abnormal ureter morphology
HP:0000071	HP:0006000	Ureteral stenosis	Ureteral obstruction
HP:0000072	HP:0025633	Hydroureter	Abnormal ureter morphology
HP:0000073	HP:0025633	Ureteral duplication	Abnormal ureter morphology
HP:0000074	HP:0000071	Ureteropelvic junction obstruction	Ureteral stenosis
HP:0000075	HP:0012210	Renal duplication	Abnormal renal morphology
HP:0000076	HP:0000009	Vesicoureteral reflux	Functional abnormality of the bladder
HP:0000076	HP:0025634	Vesicoureteral reflux	Abnormal ureter physiology
HP:0000077	HP:0010935	Abnormality of the kidney	Abnormality of the upper urinary tract
HP:0000078	HP:0000119	Abnormality of the genital system	Abnormality of the genitourinary system
HP:0000079	HP:0000119	Abnormality of the urinary system	Abnormality of the genitourinary system
HP:0000080	HP:0000078	Abnormality of reproductive system physiology	Abnormality of the genital system
HP:0000081	HP:0004742	Duplicated collecting system	Abnormal renal collecting system morphology
HP:0000083	HP:0012211	Renal insufficiency	Abnormal renal physiology
HP:0000085	HP:0100542	Horseshoe kidney	Abnormal localization of kidney
HP:0000086	HP:0100542	Ectopic kidney	Abnormal localization of kidney
HP:0000089	HP:0008678	Renal hypoplasia	Renal hypoplasia/aplasia
HP:0000090	HP:0100957	Nephronophthisis	Abnormal renal medulla morphology
HP:0000091	HP:0012575	Abnormal renal tubule morphology	Abnormal nephron morphology
HP:0000092	HP:0032599	Renal tubular atrophy	Abnormal renal tubular epithelial morphology
HP:0000093	HP:0020129	Proteinuria	Abnormal urine protein level
HP:0000095	HP:0012575	Abnormality of renal glomerulus morphology	Abnormal nephron morphology
HP:0000095	HP:0031263	Abnormality of renal glomerulus morphology	Abnormal renal corpuscle morphology
HP:0000096	HP:0000095	Glomerulosclerosis	Abnormality of renal glomerulus morphology
HP:0000097	HP:0000096	Focal segmental glomerulosclerosis	Glomerulosclerosis
HP:0000098	HP:0000002	Tall stature	Abnormality of body height
HP:0000099	HP:0000095	Glomerulonephritis	Abnormality of renal glomerulus morphology
HP:0000099	HP:0000123	Glomerulonephritis	Nephritis
HP:0000100	HP:0012211	Nephrotic syndrome	Abnormal renal physiology
HP:0000103	HP:0012590	Polyuria	Abnormal urine output
HP:0000104	HP:0008678	Renal agenesis	Renal hypoplasia/aplasia
HP:0000105	HP:0012210	Enlarged kidney	Abnormal renal morphology
HP:0000107	HP:0012210	Renal cyst	Abnormal renal morphology
HP:0000108	HP:0000107	Renal corticomedullary cysts	Renal cyst
HP:0000108	HP:0011035	Renal corticomedullary cysts	Abnormal renal cortex morphology
HP:0000108	HP:0100957	Renal corticomedullary cysts	Abnormal renal medulla morphology
HP:0000110	HP:0012210	Renal dysplasia	Abnormal renal morphology
HP:0000111	HP:0000095	Renal juxtaglomerular cell hypertrophy/hyperplasia	Abnormality of renal glomerulus morphology
HP:0000112	HP:0012211	Nephropathy	Abnormal renal physiology
HP:0000113	HP:0000107	Polycystic kidney dysplasia	Renal cyst
HP:0000114	HP:0000124	Proximal tubulopathy	Renal tubular dysfunction
HP:0000117	HP:0012599	Renal phosphate wasting	Abnormal urine phosphate concentration
HP:0000118	HP:0000001	Phenotypic abnormality	All
HP:0000119	HP:0000118	Abnormality of the genitourinary system	Phenotypic abnormality
HP:0000121	HP:0012210	Nephrocalcinosis	Abnormal renal morphology
HP:0000122	HP:0000104	Unilateral renal agenesis	Renal agenesis
HP:0000123	HP:0012211	Nephritis	Abnormal renal physiology
HP:0000123	HP:0012649	Nephritis	Increased inflammatory response
HP:0000124	HP:0012211	Renal tubular dysfunction	Abnormal renal physiology
HP:0000125	HP:0000086	Pelvic kidney	Ectopic kidney
HP:0000126	HP:0010946	Hydronephrosis	Dilatation of the renal pelvis
HP:0000127	HP:0012591	Renal salt wasting	Abnormal urinary electrolyte concentration
HP:0000128	HP:0012598	Renal potassium wasting	Abnormal urine potassium concentration
HP:0000130	HP:0000008	Abnormality of the uterus	Abnormal morphology of female internal genitalia
HP:0000131	HP:0010784	Uterine leiomyoma	Uterine neoplasm
HP:0000132	HP:0000140	Menorrhagia	Abnormality of the menstrual cycle
HP:0000132	HP:0001892	Menorrhagia	Abnormal bleeding
HP:0000133	HP:0000812	Gonadal dysgenesis	Abnormal internal genitalia
HP:0000134	HP:0000135	Female hypogonadism	Hypogonadism
HP:0000134	HP:0031066	Female hypogonadism	Abnormal ovarian physiology
HP:0000135	HP:0000080	Hypogonadism	Abnormality of reproductive system physiology
HP:0000135	HP:0008373	Hypogonadism	Puberty and gonadal disorders
HP:0000136	HP:0031105	Bifid uterus	Abnormal uterus morphology
HP:0000137	HP:0000008	Abnormality of the ovary	Abnormal morphology of female internal genitalia
HP:0000138	HP:0031065	Ovarian cyst	Abnormal ovarian morphology
HP:0000139	HP:0031105	Uterine prolapse	Abnormal uterus morphology
HP:0000139	HP:0100823	Uterine prolapse	Genital hernia
HP:0000140	HP:0030012	Abnormality of the menstrual cycle	Abnormal female reproductive system physiology
HP:0000141	HP:0000140	Amenorrhea	Abnormality of the menstrual cycle
HP:0000142	HP:0000008	Abnormal vagina morphology	Abnormal morphology of female internal genitalia
HP:0000143	HP:0004320	Rectovaginal fistula	Vaginal fistula
HP:0000143	HP:0100590	Rectovaginal fistula	Rectal fistula
HP:0000144	HP:0000080	Decreased fertility	Abnormality of reproductive system physiology
HP:0000145	HP:0001153	Transverse vaginal septum	Septate vagina
HP:0000147	HP:0000138	Polycystic ovaries	Ovarian cyst
HP:0000148	HP:0000142	Vaginal atresia	Abnormal vagina morphology
HP:0000148	HP:0001827	Vaginal atresia	Genital tract atresia
HP:0000149	HP:0000150	Ovarian gonadoblastoma	Gonadoblastoma
HP:0000149	HP:0100615	Ovarian gonadoblastoma	Ovarian neoplasm
HP:0000150	HP:0000812	Gonadoblastoma	Abnormal internal genitalia
HP:0000150	HP:0100728	Gonadoblastoma	Germ cell neoplasia
HP:0000151	HP:0008684	Aplasia of the uterus	Aplasia/hypoplasia of the uterus
HP:0000152	HP:0000118	Abnormality of head or neck	Phenotypic abnormality
HP:0000153	HP:0000271	Abnormality of the mouth	Abnormality of the face
HP:0000154	HP:0011337	Wide mouth	Abnormality of mouth size
HP:0000155	HP:0011830	Oral ulcer	Abnormal oral mucosa morphology
HP:0000157	HP:0000163	Abnormality of the tongue	Abnormal oral cavity morphology
HP:0000158	HP:0003712	Macroglossia	Skeletal muscle hypertrophy
HP:0000158	HP:0030809	Macroglossia	Abnormal tongue morphology
HP:0000159	HP:0000163	Abnormal lip morphology	Abnormal oral cavity morphology
HP:0000160	HP:0011337	Narrow mouth	Abnormality of mouth size
HP:0000161	HP:0000204	Median cleft lip	Cleft upper lip
HP:0000162	HP:0030809	Glossoptosis	Abnormal tongue morphology
HP:0000163	HP:0031816	Abnormal oral cavity morphology	Abnormal oral morphology
HP:0000164	HP:0000163	Abnormality of the dentition	Abnormal oral cavity morphology
HP:0000166	HP:0000704	Severe periodontitis	Periodontitis
HP:0000168	HP:0011830	Abnormality of the gingiva	Abnormal oral mucosa morphology
HP:0000169	HP:0000168	Gingival fibromatosis	Abnormality of the gingiva
HP:0000169	HP:0010614	Gingival fibromatosis	Fibroma
HP:0000171	HP:0010295	Microglossia	Aplasia/Hypoplasia of the tongue
HP:0000172	HP:0100736	Abnormality of the uvula	Abnormal soft palate morphology
HP:0000174	HP:0000163	Abnormal palate morphology	Abnormal oral cavity morphology
HP:0000175	HP:0000202	Cleft palate	Oral cleft
HP:0000175	HP:0100737	Cleft palate	Abnormal hard palate morphology
HP:0000176	HP:0410031	Submucous cleft hard palate	Submucous cleft of soft and hard palate
HP:0000177	HP:0000159	Abnormality of upper lip	Abnormal lip morphology
HP:0000178	HP:0000159	Abnormality of lower lip	Abnormal lip morphology
HP:0000179	HP:0000178	Thick lower lip vermilion	Abnormality of lower lip
HP:0000179	HP:0012471	Thick lower lip vermilion	Thick vermilion border
HP:0000180	HP:0030809	Lobulated tongue	Abnormal tongue morphology
HP:0000182	HP:0030810	Movement abnormality of the tongue	Abnormal tongue physiology
HP:0000183	HP:0000182	Difficulty in tongue movements	Movement abnormality of the tongue
HP:0000185	HP:0000175	Cleft soft palate	Cleft palate
HP:0000185	HP:0100736	Cleft soft palate	Abnormal soft palate morphology
HP:0000187	HP:0006477	Broad alveolar ridges	Abnormality of the alveolar ridges
HP:0000188	HP:0000177	Short upper lip	Abnormality of upper lip
HP:0000189	HP:0000174	Narrow palate	Abnormal palate morphology
HP:0000190	HP:0000163	Abnormal oral frenulum morphology	Abnormal oral cavity morphology
HP:0000191	HP:0000190	Accessory oral frenulum	Abnormal oral frenulum morphology
HP:0000193	HP:0000172	Bifid uvula	Abnormality of the uvula
HP:0000193	HP:0000185	Bifid uvula	Cleft soft palate
HP:0000194	HP:0011338	Open mouth	Abnormality of mouth shape
HP:0000196	HP:0000178	Lower lip pit	Abnormality of lower lip
HP:0000196	HP:0100269	Lower lip pit	Paramedian lip pit
HP:0000197	HP:0010286	Abnormal parotid gland morphology	Abnormal salivary gland morphology
HP:0000198	HP:0000197	Absence of Stensen duct	Abnormal parotid gland morphology
HP:0000199	HP:0030809	Tongue nodules	Abnormal tongue morphology
HP:0000200	HP:0000190	Short lingual frenulum	Abnormal oral frenulum morphology
HP:0000201	HP:0031816	Pierre-Robin sequence	Abnormal oral morphology
HP:0000202	HP:0000163	Oral cleft	Abnormal oral cavity morphology
HP:0000204	HP:0000177	Cleft upper lip	Abnormality of upper lip
HP:0000204	HP:0410030	Cleft upper lip	Cleft lip
HP:0000205	HP:0011338	Pursed lips	Abnormality of mouth shape
HP:0000206	HP:0030809	Glossitis	Abnormal tongue morphology
HP:0000207	HP:0011338	Triangular mouth	Abnormality of mouth shape
HP:0000211	HP:0000277	Trismus	Abnormality of the mandible
HP:0000212	HP:0000168	Gingival overgrowth	Abnormality of the gingiva
HP:0000214	HP:0000159	Lip telangiectasia	Abnormal lip morphology
HP:0000214	HP:0000228	Lip telangiectasia	Oral cavity telangiectasia
HP:0000215	HP:0011339	Thick upper lip vermilion	Abnormality of upper lip vermillion
HP:0000215	HP:0012471	Thick upper lip vermilion	Thick vermilion border
HP:0000216	HP:0000187	Broad secondary alveolar ridge	Broad alveolar ridges
HP:0000217	HP:0100755	Xerostomia	Abnormality of salivation
HP:0000218	HP:0000174	High palate	Abnormal palate morphology
HP:0000219	HP:0000233	Thin upper lip vermilion	Thin vermilion border
HP:0000219	HP:0011339	Thin upper lip vermilion	Abnormality of upper lip vermillion
HP:0000220	HP:0100736	Velopharyngeal insufficiency	Abnormal soft palate morphology
HP:0000221	HP:0030809	Furrowed tongue	Abnormal tongue morphology
HP:0000222	HP:0000168	Gingival hyperkeratosis	Abnormality of the gingiva
HP:0000222	HP:0000962	Gingival hyperkeratosis	Hyperkeratosis
HP:0000223	HP:0012638	Abnormality of taste sensation	Abnormal nervous system physiology
HP:0000223	HP:0030810	Abnormality of taste sensation	Abnormal tongue physiology
HP:0000224	HP:0000223	Hypogeusia	Abnormality of taste sensation
HP:0000225	HP:0000168	Gingival bleeding	Abnormality of the gingiva
HP:0000225	HP:0001892	Gingival bleeding	Abnormal bleeding
HP:0000227	HP:0000228	Tongue telangiectasia	Oral cavity telangiectasia
HP:0000227	HP:0030809	Tongue telangiectasia	Abnormal tongue morphology
HP:0000228	HP:0011830	Oral cavity telangiectasia	Abnormal oral mucosa morphology
HP:0000228	HP:0100579	Oral cavity telangiectasia	Mucosal telangiectasiae
HP:0000230	HP:0000168	Gingivitis	Abnormality of the gingiva
HP:0000232	HP:0000178	Everted lower lip vermilion	Abnormality of lower lip
HP:0000232	HP:0012472	Everted lower lip vermilion	Eclabion
HP:0000233	HP:0000159	Thin vermilion border	Abnormal lip morphology
HP:0000234	HP:0000152	Abnormality of the head	Abnormality of head or neck
HP:0000235	HP:0002683	Abnormality of the fontanelles or cranial sutures	Abnormality of the calvaria
HP:0000236	HP:0011328	Abnormality of the anterior fontanelle	Abnormality of fontanelles
HP:0000237	HP:0000236	Small anterior fontanelle	Abnormality of the anterior fontanelle
HP:0000238	HP:0002118	Hydrocephalus	Abnormality of the cerebral ventricles
HP:0000238	HP:0002921	Hydrocephalus	Abnormality of the cerebrospinal fluid
HP:0000239	HP:0011328	Large fontanelles	Abnormality of fontanelles
HP:0000240	HP:0000929	Abnormality of skull size	Abnormal skull morphology
HP:0000242	HP:0002696	Parietal bossing	Abnormal parietal bone morphology
HP:0000243	HP:0002648	Trigonocephaly	Abnormality of calvarial morphology
HP:0000244	HP:0000248	Brachyturricephaly	Brachycephaly
HP:0000244	HP:0000262	Brachyturricephaly	Turricephaly
HP:0000245	HP:0011821	Abnormality of the paranasal sinuses	Abnormality of facial skeleton
HP:0000246	HP:0000245	Sinusitis	Abnormality of the paranasal sinuses
HP:0000246	HP:0012649	Sinusitis	Increased inflammatory response
HP:0000248	HP:0002648	Brachycephaly	Abnormality of calvarial morphology
HP:0000250	HP:0002683	Dense calvaria	Abnormality of the calvaria
HP:0000250	HP:0004330	Dense calvaria	Increased skull ossification
HP:0000252	HP:0007364	Microcephaly	Aplasia/Hypoplasia of the cerebrum
HP:0000252	HP:0040195	Microcephaly	Decreased head circumference
HP:0000253	HP:0005484	Progressive microcephaly	Postnatal microcephaly
HP:0000255	HP:0000246	Acute sinusitis	Sinusitis
HP:0000256	HP:0040194	Macrocephaly	Increased head circumference
HP:0000260	HP:0000236	Wide anterior fontanel	Abnormality of the anterior fontanelle
HP:0000260	HP:0000239	Wide anterior fontanel	Large fontanelles
HP:0000262	HP:0002648	Turricephaly	Abnormality of calvarial morphology
HP:0000263	HP:0000262	Oxycephaly	Turricephaly
HP:0000264	HP:0000929	Abnormality of the mastoid	Abnormal skull morphology
HP:0000265	HP:0000264	Mastoiditis	Abnormality of the mastoid
HP:0000267	HP:0002648	Cranial asymmetry	Abnormality of calvarial morphology
HP:0000268	HP:0002648	Dolichocephaly	Abnormality of calvarial morphology
HP:0000269	HP:0011217	Prominent occiput	Abnormal shape of the occiput
HP:0000270	HP:0011329	Delayed cranial suture closure	Abnormality of cranial sutures
HP:0000271	HP:0000234	Abnormality of the face	Abnormality of the head
HP:0000272	HP:0012369	Malar flattening	Abnormality of malar bones
HP:0000273	HP:0005324	Facial grimacing	Disturbance of facial expression
HP:0000274	HP:0001999	Small face	Abnormal facial shape
HP:0000275	HP:0000274	Narrow face	Small face
HP:0000276	HP:0100729	Long face	Large face
HP:0000277	HP:0030791	Abnormality of the mandible	Abnormal jaw morphology
HP:0000278	HP:0000277	Retrognathia	Abnormality of the mandible
HP:0000280	HP:0001999	Coarse facial features	Abnormal facial shape
HP:0000282	HP:0000969	Facial edema	Edema
HP:0000282	HP:0011799	Facial edema	Abnormality of facial soft tissue
HP:0000283	HP:0100729	Broad face	Large face
HP:0000286	HP:0000492	Epicanthus	Abnormal eyelid morphology
HP:0000287	HP:0000291	Increased facial adipose tissue	Abnormality of facial adipose tissue
HP:0000288	HP:0000177	Abnormality of the philtrum	Abnormality of upper lip
HP:0000289	HP:0000288	Broad philtrum	Abnormality of the philtrum
HP:0000290	HP:0000271	Abnormality of the forehead	Abnormality of the face
HP:0000291	HP:0009124	Abnormality of facial adipose tissue	Abnormal adipose tissue morphology
HP:0000291	HP:0011799	Abnormality of facial adipose tissue	Abnormality of facial soft tissue
HP:0000292	HP:0000291	Loss of facial adipose tissue	Abnormality of facial adipose tissue
HP:0000292	HP:0008887	Loss of facial adipose tissue	Adipose tissue loss
HP:0000293	HP:0004426	Full cheeks	Abnormality of the cheek
HP:0000294	HP:0000599	Low anterior hairline	Abnormality of the frontal hairline
HP:0000295	HP:0001999	Doll-like facies	Abnormal facial shape
HP:0000297	HP:0000301	Facial hypotonia	Abnormality of facial musculature
HP:0000297	HP:0001252	Facial hypotonia	Muscular hypotonia
HP:0000298	HP:0004673	Mask-like facies	Decreased facial expression
HP:0000300	HP:0001999	Oval face	Abnormal facial shape
HP:0000301	HP:0011799	Abnormality of facial musculature	Abnormality of facial soft tissue
HP:0000301	HP:0011805	Abnormality of facial musculature	Abnormal skeletal muscle morphology
HP:0000303	HP:0000277	Mandibular prognathia	Abnormality of the mandible
HP:0000303	HP:0000306	Mandibular prognathia	Abnormality of the chin
HP:0000306	HP:0000271	Abnormality of the chin	Abnormality of the face
HP:0000307	HP:0000306	Pointed chin	Abnormality of the chin
HP:0000308	HP:0000278	Microretrognathia	Retrognathia
HP:0000308	HP:0000347	Microretrognathia	Micrognathia
HP:0000309	HP:0000271	Abnormality of the midface	Abnormality of the face
HP:0000311	HP:0001999	Round face	Abnormal facial shape
HP:0000315	HP:0000271	Abnormality of the orbital region	Abnormality of the face
HP:0000316	HP:0100886	Hypertelorism	Abnormality of globe location
HP:0000317	HP:0000301	Facial myokymia	Abnormality of facial musculature
HP:0000317	HP:0002411	Facial myokymia	Myokymia
HP:0000319	HP:0000288	Smooth philtrum	Abnormality of the philtrum
HP:0000320	HP:0001999	Bird-like facies	Abnormal facial shape
HP:0000321	HP:0001999	Square face	Abnormal facial shape
HP:0000322	HP:0000288	Short philtrum	Abnormality of the philtrum
HP:0000324	HP:0001999	Facial asymmetry	Abnormal facial shape
HP:0000325	HP:0001999	Triangular face	Abnormal facial shape
HP:0000326	HP:0030791	Abnormality of the maxilla	Abnormal jaw morphology
HP:0000327	HP:0000326	Hypoplasia of the maxilla	Abnormality of the maxilla
HP:0000329	HP:0001028	Facial hemangioma	Hemangioma
HP:0000329	HP:0011799	Facial hemangioma	Abnormality of facial soft tissue
HP:0000331	HP:0000306	Short chin	Abnormality of the chin
HP:0000336	HP:0100538	Prominent supraorbital ridges	Abnormality of the supraorbital ridges
HP:0000337	HP:0000290	Broad forehead	Abnormality of the forehead
HP:0000338	HP:0000301	Hypomimic face	Abnormality of facial musculature
HP:0000338	HP:0004673	Hypomimic face	Decreased facial expression
HP:0000339	HP:0000280	Pugilistic facies	Coarse facial features
HP:0000340	HP:0000290	Sloping forehead	Abnormality of the forehead
HP:0000341	HP:0000290	Narrow forehead	Abnormality of the forehead
HP:0000343	HP:0000288	Long philtrum	Abnormality of the philtrum
HP:0000346	HP:0000205	Whistling appearance	Pursed lips
HP:0000347	HP:0009118	Micrognathia	Aplasia/Hypoplasia of the mandible
HP:0000348	HP:0000290	High forehead	Abnormality of the forehead
HP:0000349	HP:0009890	Widow's peak	High anterior hairline
HP:0000350	HP:0000290	Small forehead	Abnormality of the forehead
HP:0000356	HP:0031703	Abnormality of the outer ear	Abnormal ear morphology
HP:0000357	HP:0000356	Abnormal location of ears	Abnormality of the outer ear
HP:0000358	HP:0000357	Posteriorly rotated ears	Abnormal location of ears
HP:0000359	HP:0031703	Abnormality of the inner ear	Abnormal ear morphology
HP:0000360	HP:0000364	Tinnitus	Hearing abnormality
HP:0000362	HP:0008628	Otosclerosis	Abnormality of the stapes
HP:0000363	HP:0000377	Abnormality of earlobe	Abnormality of the pinna
HP:0000364	HP:0031704	Hearing abnormality	Abnormal ear physiology
HP:0000365	HP:0000364	Hearing impairment	Hearing abnormality
HP:0000366	HP:0000271	Abnormality of the nose	Abnormality of the face
HP:0000368	HP:0000358	Low-set, posteriorly rotated ears	Posteriorly rotated ears
HP:0000368	HP:0000369	Low-set, posteriorly rotated ears	Low-set ears
HP:0000369	HP:0000357	Low-set ears	Abnormal location of ears
HP:0000370	HP:0031703	Abnormality of the middle ear	Abnormal ear morphology
HP:0000371	HP:0000388	Acute otitis media	Otitis media
HP:0000372	HP:0000356	Abnormality of the auditory canal	Abnormality of the outer ear
HP:0000375	HP:0011390	Abnormal cochlea morphology	Morphological abnormality of the inner ear
HP:0000376	HP:0011373	Incomplete partition of the cochlea type II	Incomplete partition of the cochlea
HP:0000377	HP:0000356	Abnormality of the pinna	Abnormality of the outer ear
HP:0000378	HP:0000377	Cupped ear	Abnormality of the pinna
HP:0000381	HP:0008628	Stapes ankylosis	Abnormality of the stapes
HP:0000383	HP:0004426	Abnormality of periauricular region	Abnormality of the cheek
HP:0000384	HP:0000383	Preauricular skin tag	Abnormality of periauricular region
HP:0000384	HP:0010609	Preauricular skin tag	Skin tags
HP:0000385	HP:0009906	Small earlobe	Aplasia/Hypoplasia of the earlobes
HP:0000387	HP:0009906	Absent earlobe	Aplasia/Hypoplasia of the earlobes
HP:0000388	HP:0000370	Otitis media	Abnormality of the middle ear
HP:0000388	HP:0012649	Otitis media	Increased inflammatory response
HP:0000389	HP:0000388	Chronic otitis media	Otitis media
HP:0000391	HP:0011039	Thickened helices	Abnormality of the helix
HP:0000394	HP:0000377	Lop ear	Abnormality of the pinna
HP:0000395	HP:0009738	Prominent antihelix	Abnormality of the antihelix
HP:0000396	HP:0008544	Overfolded helix	Abnormally folded helix
HP:0000399	HP:0011474	Prelingual sensorineural hearing impairment	Childhood onset sensorineural hearing impairment
HP:0000400	HP:0000377	Macrotia	Abnormality of the pinna
HP:0000402	HP:0000372	Stenosis of the external auditory canal	Abnormality of the auditory canal
HP:0000403	HP:0000388	Recurrent otitis media	Otitis media
HP:0000403	HP:0002719	Recurrent otitis media	Recurrent infections
HP:0000405	HP:0000365	Conductive hearing impairment	Hearing impairment
HP:0000405	HP:0011452	Conductive hearing impairment	Functional abnormality of the middle ear
HP:0000407	HP:0000365	Sensorineural hearing impairment	Hearing impairment
HP:0000407	HP:0011389	Sensorineural hearing impairment	Functional abnormality of the inner ear
HP:0000408	HP:0000407	Progressive sensorineural hearing impairment	Sensorineural hearing impairment
HP:0000408	HP:0001730	Progressive sensorineural hearing impairment	Progressive hearing impairment
HP:0000410	HP:0000405	Mixed hearing impairment	Conductive hearing impairment
HP:0000410	HP:0000407	Mixed hearing impairment	Sensorineural hearing impairment
HP:0000411	HP:0000377	Protruding ear	Abnormality of the pinna
HP:0000413	HP:0000372	Atresia of the external auditory canal	Abnormality of the auditory canal
